,number,auprc,latency,datetime_start,datetime_complete,duration,params_alpha,params_gamma,params_lambda,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state,experiment
0,0,0.860114711875535,0.995164155960083,2021-06-15 15:58:52.260107,2021-06-15 15:59:10.855633,0 days 00:00:18.595526,6.007253398673621,0.00041932635675516244,9.516660412075908,0.33486094826953217,1.5598221131984136,7,9.774928425188534,415,0.37398752263727114,COMPLETE,MOTPE
1,1,0.8224589770283762,0.8090870380401611,2021-06-15 15:59:10.856382,2021-06-15 15:59:53.368074,0 days 00:00:42.511692,0.5082554304583331,0.0017906949942475183,1.4575881690520198,2.110630907659182e-05,3.601923601828453,10,4.771747354087008,235,0.950935571190973,COMPLETE,MOTPE
2,2,0.8182806468900707,0.9671270847320557,2021-06-15 15:59:53.368894,2021-06-15 16:00:56.257878,0 days 00:01:02.888984,1.9446612889475967,0.3671210889403426,4.678344691240529,7.782937949410307e-05,3.0323997755764176,6,5.213065251449138,381,0.8207143086336544,COMPLETE,MOTPE
3,3,0.8454516777583032,0.8417479991912842,2021-06-15 16:00:56.258700,2021-06-15 16:01:34.031686,0 days 00:00:37.772986,7.721346185828746,0.7089799440492404,0.8400939364455218,0.03903134937026763,8.61807264795323,19,6.870667546183409,249,0.7964444291673143,COMPLETE,MOTPE
4,4,0.7803260076658438,0.7491137981414795,2021-06-15 16:01:34.032526,2021-06-15 16:01:56.590642,0 days 00:00:22.558116,9.195386245596437,0.0262425636153739,5.362181699537313,1.029079939617612e-05,1.5265464144983432,13,6.945530311099477,281,0.37905440912344074,COMPLETE,MOTPE
5,5,0.7907219480285735,0.927983283996582,2021-06-15 16:01:56.591465,2021-06-15 16:02:45.858868,0 days 00:00:49.267403,1.2654177274498668,0.014505147196883538,0.7069256596887974,0.0005700790076121386,9.010277596247203,13,9.823338678670451,361,0.662628345076266,COMPLETE,MOTPE
6,6,0.8160890451386748,0.8566031455993652,2021-06-15 16:02:45.859714,2021-06-15 16:03:18.221986,0 days 00:00:32.362272,2.732587499686212,1.842494667779209e-06,7.902308877481891,0.007391302261237073,1.981266656725752,6,1.706993728396398,305,0.38844353338426735,COMPLETE,MOTPE
7,7,0.831473090628317,0.75164794921875,2021-06-15 16:03:18.222864,2021-06-15 16:03:33.613003,0 days 00:00:15.390139,3.8526036497327087,0.37671486713409547,0.9264302675079228,0.04123682600301355,7.347031700098552,9,2.721111049114073,226,0.20837277363568268,COMPLETE,MOTPE
8,8,0.7885106587574899,0.5617039203643799,2021-06-15 16:03:33.614062,2021-06-15 16:03:39.107058,0 days 00:00:05.492996,9.71996025905614,7.300026712597437e-05,5.613550146169837,0.023560884521167065,2.243191112953411,14,6.009085790049902,68,0.3067748063615783,COMPLETE,MOTPE
9,9,0.8093453382847373,0.8897960186004639,2021-06-15 16:03:39.107925,2021-06-15 16:04:21.920622,0 days 00:00:42.812697,0.975472423626097,2.729953823108541,5.53061580475968,0.005776950212425913,8.21165145581724,10,8.766568422555103,426,0.5037017713198373,COMPLETE,MOTPE
