,number,auprc,latency,datetime_start,datetime_complete,duration,params_alpha,params_gamma,params_lambda,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state,experiment
0,0,0.7839354967879247,0.8758010864257812,2021-06-15 17:05:32.475375,2021-06-15 17:06:04.097511,0 days 00:00:31.622136,4.897311680249828,5.417299761753568e-05,8.641155445068291,4.213493538920562e-05,2.9092146828252163,7,5.736570511744538,391,0.43159887016816,COMPLETE,Random
1,1,0.7954060406325694,0.6813409328460693,2021-06-15 17:06:04.098441,2021-06-15 17:06:21.299791,0 days 00:00:17.201350,6.388599346919955,0.0012690759040431562,7.588654579835166,4.7204741079275e-05,2.0088732945598355,10,1.1680416423893583,193,0.33586025205870573,COMPLETE,Random
2,2,0.8271967308061546,0.6506459712982178,2021-06-15 17:06:21.300598,2021-06-15 17:06:40.537154,0 days 00:00:19.236556,4.577879166763058,0.44943752274211896,2.7267413601449775,0.0001549688193303961,8.619168073799694,7,1.0772812054232968,109,0.6907058690621455,COMPLETE,Random
3,3,0.8044517452453497,0.6514441967010498,2021-06-15 17:06:40.537991,2021-06-15 17:06:57.853360,0 days 00:00:17.315369,3.392256765570738,0.5931447719243624,2.0227633251669994,0.04181369453239889,1.3764440751951124,2,8.804996804213166,190,0.9337413472488398,COMPLETE,Random
4,4,0.8379253747104518,0.5099489688873291,2021-06-15 17:06:57.854162,2021-06-15 17:07:00.531522,0 days 00:00:02.677360,5.6567501410978664,0.020398954462848375,8.787600183176108,0.304551014970024,7.361675056140301,9,3.441108603475705,13,0.7427332802537452,COMPLETE,Random
5,5,0.8608437221426376,0.5739960670471191,2021-06-15 17:07:00.532327,2021-06-15 17:07:07.479897,0 days 00:00:06.947570,9.464571845263118,0.0003051110437740015,9.295209464572988,0.6313988298726341,7.843897056342314,16,2.442022073547865,90,0.3515467605099127,COMPLETE,Random
6,6,0.8165769562779851,0.5586607456207275,2021-06-15 17:07:07.480842,2021-06-15 17:07:22.077682,0 days 00:00:14.596840,7.747753970117094,0.0030510179795813813,9.250690521296253,1.7085788608071047e-05,1.74970985769347,20,4.810735100823848,99,0.8921099602802369,COMPLETE,Random
7,7,0.7994209104247374,0.9635612964630127,2021-06-15 17:07:22.078821,2021-06-15 17:08:06.153348,0 days 00:00:44.074527,6.868788352589544,0.12282333866437643,3.6270585404318103,0.000398417909573657,2.3783540084990196,6,1.7729088325829494,368,0.5014364662171067,COMPLETE,Random
8,8,0.7965080431501681,0.8133020401000977,2021-06-15 17:08:06.154216,2021-06-15 17:08:34.835462,0 days 00:00:28.681246,4.788342154876507,0.014839792487211715,6.9603832180402385,7.652393974775806e-05,4.421950564461509,3,1.6940743881798541,264,0.6592270332111791,COMPLETE,Random
9,9,0.7913818615176729,0.636559009552002,2021-06-15 17:08:34.836287,2021-06-15 17:08:51.590268,0 days 00:00:16.753981,8.39963553403036,2.507300388392337e-05,6.525595963206929,0.009676764056885974,6.1700173642301435,14,7.207644768768295,167,0.4929495182832622,COMPLETE,Random
